rank,name,handle,group,role,followers,following,connections,in_degree,out_degree,cross_follow_count,cross_follow_ratio,posts_count,comments_count,likes_count,reposts_count,association_weight,association_weight_norm,semantic_ai,pagerank,grey_relation,quanzhong_score,location,website,joinedDate,verified
20,hardmaru,hardmaru,researcher,Research Scientist at Google,382975,1805,53,33,20,8,0.4,0,0,0,0,9.074248,0.44042,0.375,0.00646993,0.460551,0.455518,"Minato-ku, Tokyo",https://sakana.ai/,Nov 2014,blue
21,Kevin Patrick Murphy,sirbayes,researcher,Professor at UBC,66408,628,45,33,12,6,0.5,0,0,0,0,7.401156,0.359037,0.75,0.00806486,0.48278,0.451844,,https://www.cs.ubc.ca/~murphyk/,Oct 2016,blue
22,Sara Hooker,sarahookr,researcher,Research Lead at Cohere,56192,10018,46,33,13,8,0.615385,0,0,0,0,8.25809,0.400721,0.5,0.00720975,0.466852,0.450319,San Francisco,https://www.sarahooker.me/,May 2016,blue
23,Jason Wei,_jasonwei,researcher,Research at OpenAI,103595,669,41,28,13,8,0.615385,0,0,0,0,8.26292,0.400955,0.5,0.00658698,0.463672,0.447993,sf,https://www.jasonwei.net/,Oct 2020,blue
24,Demis Hassabis,demishassabis,founder,CEO at Google DeepMind,639495,164,50,18,32,9,0.28125,0,0,0,0,8.469262,0.410992,0.125,0.00498883,0.459363,0.44727,,http://www.deepmind.com,Jun 2013,blue
25,Dan Roy,roydanroy,researcher,CTO & Professor at Google,62235,1861,44,32,12,7,0.583333,0,0,0,0,8.233016,0.399501,0.5,0.00710676,0.461677,0.446133,London,http://danroy.org/,Jun 2009,blue
26,Jim Fan,DrJimFan,researcher,Senior Research Scientist at NVIDIA,357475,3102,64,41,23,6,0.26087,0,0,0,0,6.763777,0.328034,0.625,0.00713714,0.479208,0.441414,Views my own. Contact →,https://jimfan.me,Dec 2012,blue
27,NVIDIA Omniverse,nvidiaomniverse,company,NVIDIA Omniverse Platform,24121,318,33,20,13,8,0.615385,0,0,0,0,9.428435,0.457649,0.125,0.00531647,0.434353,0.440177,,https://www.nvidia.com/omniverse,Oct 2020,blue
28,NVIDIA Data Center,NVIDIADC,company,NVIDIA Data Center,53705,1664,27,12,15,8,0.533333,0,0,0,0,9.6808,0.469925,0.25,0.00265333,0.428289,0.438698,"Santa Clara, CA",https://www.nvidia.com/en-us/data-center/,Nov 2009,blue
29,AK,_akhaliq,founder,HuggingFace,454313,3157,57,40,17,6,0.352941,0,0,0,0,7.462951,0.362043,0.375,0.00832085,0.458911,0.434694,,https://huggingface.co/akhaliq,Apr 2014,blue
30,Richard Socher,RichardSocher,founder,CEO at You.com,114855,1100,55,19,36,7,0.194444,0,0,0,0,7.015348,0.340271,0.25,0.00393182,0.464251,0.433256,,http://www.socher.org,May 2013,blue
31,Sander Dieleman,sedielem,researcher,Research Scientist at Google,65858,1905,45,27,18,5,0.277778,0,0,0,0,6.662361,0.3231,0.75,0.00544582,0.463528,0.428421,"London, England",https://sander.ai,Dec 2014,blue
32,elvis,omarsar0,researcher,Meta,288103,765,41,21,20,8,0.4,0,0,0,0,8.178505,0.396849,0.25,0.00507946,0.43696,0.426932,DAIR.AI Academy,https://www.dair.ai/,Sep 2015,blue
33,NVIDIA AI,NVIDIAAI,company,NVIDIA AI Division,257189,790,35,16,19,7,0.368421,0,0,0,0,8.868835,0.430429,0.125,0.00323495,0.423652,0.425346,"Santa Clara, CA",http://nvda.ws/2LgJ1Ga,Jun 2016,blue
34,Sergey Levine,svlevine,researcher,Professor at UC Berkeley,119196,141,45,36,9,6,0.666667,0,0,0,0,6.869771,0.333189,0.25,0.00666962,0.45378,0.423632,"Berkeley, CA",http://rail.eecs.berkeley.edu/,Apr 2018,blue
35,Horace He,cHHillee,founder,,45329,555,45,32,13,7,0.538462,0,0,0,0,7.166496,0.347623,0.25,0.00840072,0.44134,0.417911,chhillee,https://www.thonking.ai/p/strangely-matrix-multiplications,Feb 2010,blue
36,Michael Bronstein,mmbronstein,researcher,Professor at Oxford,55624,7119,32,20,12,7,0.583333,0,0,0,0,6.919852,0.335625,0.5,0.00539452,0.444418,0.41722,,https://www.cs.ox.ac.uk/people/michael.bronstein/,Aug 2009,
37,Sam Altman,sama,founder,CEO at OpenAI,4317707,984,43,19,24,6,0.25,0,0,0,0,5.976037,0.289716,0.25,0.00743423,0.45759,0.415621,SF,http://blog.samaltman.com,Jul 2006,blue
38,NeurIPS Conference,NeurIPSConf,company,AI/ML Conference,150047,41,44,38,6,5,0.833333,0,0,0,0,4.562403,0.220953,0.25,0.00804012,0.474655,0.41123,,https://neurips.cc,Apr 2010,blue
39,NVIDIA Studio,NVIDIAStudio,company,NVIDIA Studio,64001,136,21,14,7,6,0.857143,0,0,0,0,6.15059,0.298207,0.0,0.0048972,0.446462,0.409398,Imagination,https://linktr.ee/nvidiacreators,Dec 2018,blue
